RECTYPE,LEA,ESTAB,URN,SCHNAME,SCHNAME_AC,ADDRESS1,ADDRESS2,ADDRESS3,TOWN,PCODE,TELNUM,PCON_CODE,PCON_NAME,CONTFLAG,ICLOSE,NFTYPE,RELDENOM,ADMPOL,ADMPOL_PT,EGENDER,FEEDER,AGERANGE,TOTPUPS,NUMBOYS,NUMGIRLS,TPUP,BPUP,PBPUP,GPUP,PGPUP,KS2ASS,TPRIORLO,PTPRIORLO,TPRIORAV,PTPRIORAV,TPRIORHI,PTPRIORHI,TFSM6CLA1A,PTFSM6CLA1A,TNOTFSM6CLA1A,PTNOTFSM6CLA1A,TEALGRP2,PTEALGRP2,TEALGRP1,PTEALGRP1,TEALGRP3,PTEALGRP3,TNMOB,PTNMOB,SENE4,PSENE4,SEN_ALL4,PSEN_ALL4,SENK4,PSENK4,TOTATT8,ATT8SCR,TOTATT8ENG,ATT8SCRENG,TOTATT8MAT,ATT8SCRMAT,TOTATT8EBAC,ATT8SCREBAC,TOTATT8OPEN,ATT8SCROPEN,TOTATT8OPENG,ATT8SCROPENG,TOTATT8OPENNG,ATT8SCROPENNG,AVGEBACFILL,AVGOPENFILL,P8PUP,TP8ADJ,P8MEACOV,P8MEA,P8CILOW,P8CIUPP,P8MEA_ORIG,P8CILOW_ORIG,P8CIUPP_ORIG,P8MEAENG,P8MEAENG_CILOW,P8MEAENG_CIUPP,P8MEAMAT,P8MEAMAT_CILOW,P8MEAMAT_CIUPP,P8MEAEBAC,P8MEAEBAC_CILOW,P8MEAEBAC_CIUPP,P8MEAOPEN,P8MEAOPEN_CILOW,P8MEAOPEN_CIUPP,PTL2BASICS_94,PTL2BASICS_95,TOTEBACCAPS,EBACCAPS,EBACCAPS_FSM6CLA1A,EBACCAPS_NFSM6CLA1A,EBACCAPS_LO,EBACCAPS_MID,EBACCAPS_HI,EBACCAPS_EAL,EBACCAPS_GIRLS,EBACCAPS_BOYS,EBACCAPS_NMOB,TEBACC_E_PTQ_EE,PTEBACC_E_PTQ_EE,PTEBACC_94,PTEBACC_95,TEBACENG_E_PTQ_EE,PTEBACENG_E_PTQ_EE,TEBACMAT_E_PTQ_EE,PTEBACMAT_E_PTQ_EE,TEBAC2SCI_E_PTQ_EE,PTEBAC2SCI_E_PTQ_EE,TEBACHUM_E_PTQ_EE,PTEBACHUM_E_PTQ_EE,TEBACLAN_E_PTQ_EE,PTEBACLAN_E_PTQ_EE,PTEBACENG_94,PTEBACENG_95,PTEBACMAT_94,PTEBACMAT_95,PTEBAC2SCI_94,PTEBAC2SCI_95,PTEBACHUM_94,PTEBACHUM_95,PTEBACLAN_94,PTEBACLAN_95,SCIVAPUP_PTQ_EE,SCIVACOV_PTQ_EE,HUMVAPUP_PTQ_EE,HUMVACOV_PTQ_EE,LANVAPUP_PTQ_EE,LANVACOV_PTQ_EE,SCIVAMEA_PTQ_EE,SCIVALOW_PTQ_EE,SCIVAUPP_PTQ_EE,HUMVAMEA_PTQ_EE,HUMVALOW_PTQ_EE,HUMVAUPP_PTQ_EE,LANVAMEA_PTQ_EE,LANVALOW_PTQ_EE,LANVAUPP_PTQ_EE,TEBACENG_94,TEBACENG_95,TEBACMAT_94,TEBACMAT_95,TEBAC2SCI_94,TEBAC2SCI_95,TEBACHUM_94,TEBACHUM_95,TEBACLAN_94,TEBACLAN_95,TEBACC91,PTEBACC91,TEBACENG91,PTEBACENG91,TEBACMAT91,PTEBACMAT91,TEBAC2SCI91,PTEBAC2SCI91,TEBACHUM91,PTEBACHUM91,TEBACLAN91,PTEBACLAN91,ATT8SCR_FSM6CLA1A,P8PUP_FSM6CLA1A,TP8ADJ_FSM6CLA1A,P8MEA_FSM6CLA1A,P8CILOW_FSM6CLA1A,P8CIUPP_FSM6CLA1A,P8MEA_FSM6CLA1A_ORIG,P8CILOW_FSM6CLA1A_ORIG,P8CIUPP_FSM6CLA1A_ORIG,ATT8SCR_NFSM6CLA1A,P8PUP_NFSM6CLA1A,TP8ADJ_NFSM6CLA1A,P8MEA_NFSM6CLA1A,P8CILOW_NFSM6CLA1A,P8CIUPP_NFSM6CLA1A,P8MEA_NFSM6CLA1A_ORIG,P8CILOW_NFSM6CLA1A_ORIG,P8CIUPP_NFSM6CLA1A_ORIG,ATT8SCRENG_FSM6CLA1A,P8MEAENG_FSM6CLA1A,P8MEAENG_CILOW_FSM6CLA1A,P8MEAENG_CIUPP_FSM6CLA1A,ATT8SCRMAT_FSM6CLA1A,P8MEAMAT_FSM6CLA1A,P8MEAMAT_CILOW_FSM6CLA1A,P8MEAMAT_CIUPP_FSM6CLA1A,ATT8SCREBAC_FSM6CLA1A,P8MEAEBAC_FSM6CLA1A,P8MEAEBAC_CILOW_FSM6CLA1A,P8MEAEBAC_CIUPP_FSM6CLA1A,ATT8SCROPEN_FSM6CLA1A,P8MEAOPEN_FSM6CLA1A,P8MEAOPEN_CILOW_FSM6CLA1A,P8MEAOPEN_CIUPP_FSM6CLA1A,ATT8SCRENG_NFSM6CLA1A,P8MEAENG_NFSM6CLA1A,P8MEAENG_CILOW_NFSM6CLA1A,P8MEAENG_CIUPP_NFSM6CLA1A,ATT8SCRMAT_NFSM6CLA1A,P8MEAMAT_NFSM6CLA1A,P8MEAMAT_CILOW_NFSM6CLA1A,P8MEAMAT_CIUPP_NFSM6CLA1A,ATT8SCREBAC_NFSM6CLA1A,P8MEAEBAC_NFSM6CLA1A,P8MEAEBAC_CILOW_NFSM6CLA1A,P8MEAEBAC_CIUPP_NFSM6CLA1A,ATT8SCROPEN_NFSM6CLA1A,P8MEAOPEN_NFSM6CLA1A,P8MEAOPEN_CILOW_NFSM6CLA1A,P8MEAOPEN_CIUPP_NFSM6CLA1A,ATT8SCROPENG_FSM6CLA1A,ATT8SCROPENNG_FSM6CLA1A,ATT8SCROPENG_NFSM6CLA1A,ATT8SCROPENNG_NFSM6CLA1A,DIFFN_ATT8,DIFFN_P8MEA,ATT8SCR_LO,P8PUP_LO,TP8ADJ_LO,P8MEA_LO,P8CILOW_LO,P8CIUPP_LO,P8MEA_LO_ORIG,P8CILOW_LO_ORIG,P8CIUPP_LO_ORIG,ATT8SCR_MID,P8PUP_MID,TP8ADJ_MID,P8MEA_MID,P8CILOW_MID,P8CIUPP_MID,P8MEA_MID_ORIG,P8CILOW_MID_ORIG,P8CIUPP_MID_ORIG,ATT8SCR_HI,P8PUP_HI,TP8ADJ_HI,P8MEA_HI,P8CILOW_HI,P8CIUPP_HI,P8MEA_HI_ORIG,P8CILOW_HI_ORIG,P8CIUPP_HI_ORIG,ATT8SCR_EAL,ATT8SCRENG_EAL,ATT8SCRMAT_EAL,ATT8SCREBAC_EAL,ATT8SCROPEN_EAL,ATT8SCROPENG_EAL,ATT8SCROPENNG_EAL,P8PUP_EAL,TP8ADJ_EAL,P8MEA_EAL,P8CILOW_EAL,P8CIUPP_EAL,P8MEA_EAL_ORIG,P8CILOW_EAL_ORIG,P8CIUPP_EAL_ORIG,ATT8SCR_GIRLS,ATT8SCRENG_GIRLS,ATT8SCRMAT_GIRLS,ATT8SCREBAC_GIRLS,ATT8SCROPEN_GIRLS,ATT8SCROPENG_GIRLS,ATT8SCROPENNG_GIRLS,P8PUP_GIRLS,TP8ADJ_GIRLS,P8MEA_GIRLS,P8CILOW_GIRLS,P8CIUPP_GIRLS,P8MEA_GIRLS_ORIG,P8CILOW_GIRLS_ORIG,P8CIUPP_GIRLS_ORIG,ATT8SCR_BOYS,ATT8SCRENG_BOYS,ATT8SCRMAT_BOYS,ATT8SCREBAC_BOYS,ATT8SCROPEN_BOYS,ATT8SCROPENG_BOYS,ATT8SCROPENNG_BOYS,P8PUP_BOYS,TP8ADJ_BOYS,P8MEA_BOYS,P8CILOW_BOYS,P8CIUPP_BOYS,P8MEA_BOYS_ORIG,P8CILOW_BOYS_ORIG,P8CIUPP_BOYS_ORIG,ATT8SCR_NMOB,ATT8SCRENG_NMOB,ATT8SCRMAT_NMOB,ATT8SCREBAC_NMOB,ATT8SCROPEN_NMOB,ATT8SCROPENG_NMOB,ATT8SCROPENNG_NMOB,P8PUP_NMOB,TP8ADJ_NMOB,P8MEA_NMOB,P8CILOW_NMOB,P8CIUPP_NMOB,P8MEA_NMOB_ORIG,P8CILOW_NMOB_ORIG,P8CIUPP_NMOB_ORIG,TEBACC_ELO_PTQ_EE,PTEBACC_ELO_PTQ_EE,PTEBACCLO_94,PTEBACCLO_95,TEBACC_EAV_PTQ_EE,PTEBACC_EAV_PTQ_EE,PTEBACCAV_94,PTEBACCAV_95,TEBACC_EHI_PTQ_EE,PTEBACC_EHI_PTQ_EE,PTEBACCHI_94,PTEBACCHI_95,PTEBACC_EFSM6CLA1A_PTQ_EE,PTEBACC_ENFSM6CLA1A_PTQ_EE,PTEBACC_94_FSM6CLA1A,PTEBACC_95_FSM6CLA1A,PTEBACC_94_NFSM6CLA1A,PTEBACC_95_NFSM6CLA1A,SCIVAMEA_LO_PTQ_EE,SCIVAMEA_MID_PTQ_EE,SCIVAMEA_HI_PTQ_EE,SCIVAMEA_FSM6CLA1A_PTQ_EE,SCIVAMEA_NFSM6CLA1A_PTQ_EE,HUMVAMEA_LO_PTQ_EE,HUMVAMEA_MID_PTQ_EE,HUMVAMEA_HI_PTQ_EE,HUMVAMEA_FSM6CLA1A_PTQ_EE,HUMVAMEA_NFSM6CLA1A_PTQ_EE,LANVAMEA_LO_PTQ_EE,LANVAMEA_MID_PTQ_EE,LANVAMEA_HI_PTQ_EE,LANVAMEA_FSM6CLA1A_PTQ_EE,LANVAMEA_NFSM6CLA1A_PTQ_EE,SCIVAUPP_FSM6CLA1A_PTQ_EE,SCIVALOW_FSM6CLA1A_PTQ_EE,SCIVAUPP_NFSM6CLA1A_PTQ_EE,SCIVALOW_NFSM6CLA1A_PTQ_EE,SCIVAUPP_LO_PTQ_EE,SCIVALOW_LO_PTQ_EE,SCIVAUPP_MID_PTQ_EE,SCIVALOW_MID_PTQ_EE,SCIVAUPP_HI_PTQ_EE,SCIVALOW_HI_PTQ_EE,HUMVAUPP_FSM6CLA1A_PTQ_EE,HUMVALOW_FSM6CLA1A_PTQ_EE,HUMVAUPP_NFSM6CLA1A_PTQ_EE,HUMVALOW_NFSM6CLA1A_PTQ_EE,HUMVAUPP_LO_PTQ_EE,HUMVALOW_LO_PTQ_EE,HUMVAUPP_MID_PTQ_EE,HUMVALOW_MID_PTQ_EE,HUMVAUPP_HI_PTQ_EE,HUMVALOW_HI_PTQ_EE,LANVAUPP_FSM6CLA1A_PTQ_EE,LANVALOW_FSM6CLA1A_PTQ_EE,LANVAUPP_NFSM6CLA1A_PTQ_EE,LANVALOW_NFSM6CLA1A_PTQ_EE,LANVAUPP_LO_PTQ_EE,LANVALOW_LO_PTQ_EE,LANVAUPP_MID_PTQ_EE,LANVALOW_MID_PTQ_EE,LANVAUPP_HI_PTQ_EE,LANVALOW_HI_PTQ_EE,PBEBACC_E_PTQ_EE,PBEBACC_94,PBEBACC_95,PGEBACC_E_PTQ_EE,PGEBACC_94,PGEBACC_95,PTEBACC_ENMOB_PTQ_EE,PTEBACCNMOB_94,PTEBACCNMOB_95,PTEBACC_EEAL_PTQ_EE,PTEBACCEAL_94,PTEBACCEAL_95,PT5EM_94,PTANYQ_PTQ_EE,PTFSM6CLA1ABASICS_94,PTNOTFSM6CLA1ABASICS_94,TBASICSLO_94,PTBASICSLO_94,TBASICSAV_94,PTBASICSAV_94,TBASICSHI_94,PTBASICSHI_94,PBL2BASICS_94,PGL2BASICS_94,PTL2BASICSEAL_94,PTL2BASICSNMOB_94,PTFSM6CLA1ABASICS_95,PTNOTFSM6CLA1ABASICS_95,TBASICSLO_95,PTBASICSLO_95,TBASICSAV_95,PTBASICSAV_95,TBASICSHI_95,PTBASICSHI_95,PBL2BASICS_95,PGL2BASICS_95,PTL2BASICSEAL_95,PTL2BASICSNMOB_95,PTmultiLan_E,PTtripleSci_E,TAVENT_E_3NG_PTQ_EE,TAVENT_E_3NG_LO_PTQ_EE,TAVENT_E_3NG_MID_PTQ_EE,TAVENT_E_3NG_HI_PTQ_EE,TAVENT_E_3NG_FSM6CLA1A_PTQ_EE,TAVENT_E_3NG_NFSM6CLA1A_PTQ_EE,TAVENT_G_PTQ_EE,TAVENT_GLO_PTQ_EE,TAVENT_GAV_PTQ_EE,TAVENT_GHI_PTQ_EE,TAVENT_GFSM6CLA1A_PTQ_EE,TAVENT_GNFSM6CLA1A_PTQ_EE,TTOTENT_E_TOTAL_PTQ_EE,TTOTENT_E_COVID_IMPACTED_PTQ_EE,PTOTENT_E_COVID_IMPACTED_PTQ_EE,P8_BANDING,EBACCAPS_PREV,EBACCAPS_PREV2,EBACCAPS_FSM6CLA1A_PREV,EBACCAPS_FSM6CLA1A_PREV2,EBACCAPS_NFSM6CLA1A_PREV,EBACCAPS_NFSM6CLA1A_PREV2,ATT8SCR_PREV,ATT8SCR_PREV2,P8PUP_PREV,P8PUP_PREV2,P8MEA_PREV,P8MEA_PREV2,P8CILOW_PREV,P8CILOW_PREV2,P8CIUPP_PREV,P8CIUPP_PREV2,ATT8SCR_FSM6CLA1A_PREV,ATT8SCR_FSM6CLA1A_PREV2,ATT8SCR_NFSM6CLA1A_PREV,ATT8SCR_NFSM6CLA1A_PREV2,PTEBACC_E_PTQ_EE_PREV,PTEBACC_E_PTQ_EE_PREV2,PTEBACC_94_PREV,PTEBACC_94_PREV2,PTEBACC_95_PREV,PTEBACC_95_PREV2,PTEBACC_EFSM6CLA1A_PTQ_EE_PREV,PTEBACC_EFSM6CLA1A_PTQ_EE_PREV2,PTEBACC_94_FSM6CLA1A_PREV,PTEBACC_94_FSM6CLA1A_PREV2,PTEBACC_95_FSM6CLA1A_PREV,PTEBACC_95_FSM6CLA1A_PREV2,PTEBACC_ENFSM6CLA1A_PTQ_EE_PREV,PTEBACC_ENFSM6CLA1A_PTQ_EE_PREV2,PTEBACC_94_NFSM6CLA1A_PREV,PTEBACC_94_NFSM6CLA1A_PREV2,PTEBACC_95_NFSM6CLA1A_PREV,PTEBACC_95_NFSM6CLA1A_PREV2,PT5EM_94_PREV,PT5EM_94_PREV2,PTL2BASICS_94_PREV,PTL2BASICS_94_PREV2,PTL2BASICS_95_PREV,PTL2BASICS_95_PREV2,PTFSM6CLA1ABASICS_94_PREV,PTFSM6CLA1ABASICS_94_PREV2,PTFSM6CLA1ABASICS_95_PREV,PTFSM6CLA1ABASICS_95_PREV2,PTNOTFSM6CLA1ABASICS_94_PREV,PTNOTFSM6CLA1ABASICS_94_PREV2,PTNOTFSM6CLA1ABASICS_95_PREV,PTNOTFSM6CLA1ABASICS_95_PREV2,TFSM6CLA1A_PREV,TFSM6CLA1A_PREV2,PTFSM6CLA1A_PREV,PTFSM6CLA1A_PREV2,TNOTFSM6CLA1A_PREV,TNOTFSM6CLA1A_PREV2,PTNOTFSM6CLA1A_PREV,PTNOTFSM6CLA1A_PREV2,TAVENT_E_3NG_FSM6CLA1A_PTQ_EE_PREV,TAVENT_E_3NG_FSM6CLA1A_PTQ_EE_PREV2,TAVENT_E_3NG_NFSM6CLA1A_PTQ_EE_PREV,TAVENT_E_3NG_NFSM6CLA1A_PTQ_EE_PREV2,TAVENT_GFSM6CLA1A_PTQ_EE_PREV,TAVENT_GFSM6CLA1A_PTQ_EE_PREV2,TAVENT_GNFSM6CLA1A_PTQ_EE_PREV,TAVENT_GNFSM6CLA1A_PTQ_EE_PREV2
1,865,4000,131969,Abbeyfield School,,Stanley Lane,,,Chippenham,SN15 3XB,01249464500,E14001168,Chippenham,0,0,CY,Does not apply,NSE,OTHER NON SEL,MIXED,0,11-19,899,474,425,155,80,51.60%,75,48.40%,NA,NA,NA,NA,NA,NA,NA,38,24.50%,117,75.50%,11,7.10%,144,92.90%,0,0.00%,149,96.10%,10,6.50%,17,11.00%,7,4.50%,7231.5,46.7,1551,10,1440,9.3,2112.5,13.6,2128,13.7,1980.5,12.8,147.5,1,2.6,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.70%,50.30%,620.27,4,2.8,4.39,NA,NA,NA,4.3,4.16,3.85,4.07,34,21.90%,15.50%,9.70%,133,85.80%,150,96.80%,147,94.80%,114,73.50%,37,23.90%,79.40%,65.80%,71.00%,54.80%,76.20%,53.10%,72.80%,57.00%,78.40%,64.90%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123,102,110,85,112,78,83,65,29,24,34,21.90%,133,85.80%,147,94.80%,145,98.60%,112,98.20%,37,100.00%,33.5,NA,NA,NA,NA,NA,NA,NA,NA,50.9,NA,NA,NA,NA,NA,NA,NA,NA,7.6,NA,NA,NA,7.1,NA,NA,NA,9.1,NA,NA,NA,9.7,NA,NA,NA,10.8,NA,NA,NA,10,NA,NA,NA,15.1,NA,NA,NA,15,NA,NA,NA,9,0.7,14,1,-16.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.7,10.6,8.5,15.2,14.3,13.4,0.9,NA,NA,NA,NA,NA,NA,NA,NA,48.2,10.7,9.1,14.1,14.4,13.2,1.2,NA,NA,NA,NA,NA,NA,NA,NA,45.2,9.4,9.5,13.2,13.1,12.4,0.7,NA,NA,NA,NA,NA,NA,NA,NA,47.5,10.2,9.4,13.9,14.1,13.1,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.20%,24.80%,7.90%,5.30%,17.90%,11.10%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.80%,11.30%,7.50%,25.30%,20.00%,12.00%,22.10%,16.10%,10.10%,36.40%,18.20%,9.10%,67.10%,96.80%,55.30%,74.40%,NA,NA,NA,NA,NA,NA,72.50%,66.70%,81.80%,71.10%,34.20%,55.60%,NA,NA,NA,NA,NA,NA,48.80%,52.00%,27.30%,51.00%,0.60%,18.70%,8,NA,NA,NA,6.9,8.4,7.4,NA,NA,NA,6.4,7.8,1282,0,0%,NA,3.97,4.03,2.5,2.81,4.44,4.33,45.6,45.9,153,159,0.03,0.19,-0.19,-0.03,0.26,0.41,29.2,33.2,50.8,49,34.60%,50.30%,22.00%,24.50%,13.80%,16.60%,18.40%,28.10%,5.30%,9.40%,2.60%,6.30%,39.70%,55.70%,27.30%,28.20%,17.40%,19.10%,60.40%,62.60%,63.50%,66.30%,45.30%,40.50%,34.20%,43.80%,15.80%,18.80%,72.70%,71.80%,54.50%,45.80%,38,32,23.90%,19.60%,121,131,76.10%,80.40%,6.9,7.4,8.8,9.1,6.4,6.9,8.4,8.4
2,865,6008,126535,Appleford School,,Elston Lane,Shrewton,,Salisbury,SP3 4HL,01980621020,E14001217,East Wiltshire,0,0,INDSS,None,,NA,MIXED,0,7-18,135,85,50,32,18,56.30%,14,43.80%,NA,NA,NA,NA,NA,NA,NA,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,,,,,,,376,11.8,0,0,0,0,105,3.3,271,8.5,166,5.2,105,3.3,0.6,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00%,0.00%,17.51,0.55,NP,NP,NA,NA,NA,NP,0.18,0.83,NP,0,0.00%,0.00%,0.00%,0,0.00%,0,0.00%,9,28.10%,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,88.90%,NE,NE,NE,NE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,9,8,NE,NE,NE,NE,0,0.00%,0,0.00%,0,0.00%,9,100.00%,NE,NE,NE,NE,NP,NA,NA,NA,NA,NA,NA,NA,NA,NP,NA,NA,NA,NA,NA,NA,NA,NA,NP,NA,NA,NA,NP,NA,NA,NA,NP,NA,NA,NA,NP,NA,NA,NA,NP,NA,NA,NA,NP,NA,NA,NA,NP,NA,NA,NA,NP,NA,NA,NA,NP,NP,NP,NP,NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NP,NP,NP,NP,NP,NP,NP,NA,NA,NA,NA,NA,NA,NA,NA,9.4,0,0,1.1,8.3,6.2,2.1,NA,NA,NA,NA,NA,NA,NA,NA,13.6,0,0,5,8.6,4.4,4.2,NA,NA,NA,NA,NA,NA,NA,NA,NP,NP,NP,NP,NP,NP,NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NP,NP,NP,NP,NP,NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,NP,NP,NP,NP,NP,NP,0.00%,84.40%,NP,NP,NA,NA,NA,NA,NA,NA,0.00%,0.00%,NP,NP,NP,NP,NA,NA,NA,NA,NA,NA,0.00%,0.00%,NP,NP,0.00%,0.00%,1.8,NA,NA,NA,NP,NP,1.3,NA,NA,NA,NP,NP,59,0,0%,NA,0.44,0.52,NP,NP,NP,NP,9,9.4,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP
1,865,4071,143005,Avon Valley Academy,,Recreation Road,Durrington,,Salisbury,SP4 8HH,01980652467,E14001217,East Wiltshire,0,0,ACC,None,NSE,OTHER NON SEL,MIXED,0,11-16,517,269,248,77,43,55.80%,34,44.20%,NA,NA,NA,NA,NA,NA,NA,13,16.90%,64,83.10%,2,2.60%,75,97.40%,0,0.00%,68,88.30%,1,1.30%,11,14.30%,10,13.00%,2675.75,34.8,598,7.8,518,6.7,755,9.8,804.75,10.5,551.5,7.2,253.25,3.3,2.8,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.20%,18.20%,224.18,2.91,2.28,3.04,NA,NA,NA,SUPP,2.73,3.06,3.01,10,13.00%,5.20%,3.90%,75,97.40%,76,98.70%,75,97.40%,67,87.00%,15,19.50%,61.00%,33.80%,49.40%,22.10%,37.30%,17.30%,44.80%,22.40%,40.00%,26.70%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,26,38,17,28,13,30,15,6,4,10,13.00%,75,97.40%,73,94.80%,73,97.30%,64,95.50%,14,93.30%,27.6,NA,NA,NA,NA,NA,NA,NA,NA,36.2,NA,NA,NA,NA,NA,NA,NA,NA,6.8,NA,NA,NA,5.4,NA,NA,NA,7.3,NA,NA,NA,8.1,NA,NA,NA,8,NA,NA,NA,7,NA,NA,NA,10.3,NA,NA,NA,10.9,NA,NA,NA,6.2,1.9,7.4,3.6,-22.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,NA,NA,NA,NA,NA,NA,NA,NA,32.9,7.8,6.1,9.1,9.9,7.6,2.3,NA,NA,NA,NA,NA,NA,NA,NA,36.2,7.8,7.3,10.3,10.9,6.8,4,NA,NA,NA,NA,NA,NA,NA,NA,36.1,8,7.1,10.1,10.9,7.4,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.70%,14.10%,0.00%,0.00%,6.30%,4.70%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.00%,7.00%,4.70%,11.80%,2.90%,2.90%,13.20%,5.90%,4.40%,SUPP,SUPP,SUPP,35.10%,98.70%,30.80%,46.90%,NA,NA,NA,NA,NA,NA,46.50%,41.20%,SUPP,45.60%,7.70%,20.30%,NA,NA,NA,NA,NA,NA,16.30%,20.60%,SUPP,19.10%,0.00%,18.20%,7.5,NA,NA,NA,6.8,7.7,6.8,NA,NA,NA,6.2,7,585,0,0%,NA,3.55,2.79,2.94,2.35,3.7,2.87,40.4,34.1,72,60,-0.18,-0.29,-0.51,-0.64,0.14,0.07,35.1,28.7,41.6,35.1,23.30%,13.60%,9.60%,1.50%,6.80%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,28.80%,16.10%,11.90%,1.80%,8.50%,0.00%,45.20%,34.80%,49.30%,40.90%,24.70%,13.60%,35.70%,30.00%,28.60%,0.00%,52.50%,42.90%,23.70%,16.10%,14,10,19.20%,15.20%,59,56,80.80%,84.80%,7.4,8,7.8,8.2,6.4,7,6.9,6.8
